danceability,energy,key,mode,instrumentalness,bpm,valence,title,artist,year,popularity,link,image,genre,uri,adj_key
0.621,0.525,5,0,0.0,90.072,0.6,Lonely,Akon,2006,55,https://open.spotify.com/track/1UGMu0Tf5nmKoYIPPztbQQ,https://i.scdn.co/image/ab67616d00001e02f6e36c5147681093d71b3efe,pop,spotify:track:1UGMu0Tf5nmKoYIPPztbQQ,17.0
0.781,0.745,4,0,1.14e-05,129.998,0.326,OMG (feat. will.i.am),"Usher, will.i.am",2010,69,https://open.spotify.com/track/1bM50INir8voAkVoKuvEUI,https://i.scdn.co/image/ab67616d00001e0286b0c9728ad3ed338eaeea79,pop,spotify:track:1bM50INir8voAkVoKuvEUI,16.0
0.646,0.795,9,1,0.0,89.99,0.796,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",2011,78,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,https://i.scdn.co/image/ab67616d00001e0218b8088fe0c3dbf78398b55a,pop,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,9.0
0.767,0.677,11,0,5.51e-06,146.155,0.538,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown, Lil Wayne, Busta Rhymes",2011,67,https://open.spotify.com/track/3hsmbFKT5Cujb5GQjqEU39,https://i.scdn.co/image/ab67616d00001e020a1d20ec09cab4bb17a36aab,pop,spotify:track:3hsmbFKT5Cujb5GQjqEU39,23.0
0.559,0.33,9,1,0.0,135.109,0.285,Someone Like You,Adele,2011,0,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,https://i.scdn.co/image/ab67616d00001e026d4056466fc11f6408be2566,pop,spotify:track:4kflIGfjdZJW4ot2ioixTB,9.0
0.729,0.756,8,1,0.0,104.945,0.522,Rolling in the Deep,Adele,2011,0,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X,https://i.scdn.co/image/ab67616d00001e026d4056466fc11f6408be2566,pop,spotify:track:1CkvWZme3pRgbzaxZnTl5X,8.0
0.591,0.889,7,1,0.0,143.067,0.65,The Show Goes On,Lupe Fiasco,2011,66,https://open.spotify.com/track/4NTWZqvfQTlOMitlVn6tew,https://i.scdn.co/image/ab67616d00001e0220cac893b7a494f729128dac,pop,spotify:track:4NTWZqvfQTlOMitlVn6tew,7.0
0.686,0.783,4,1,0.0,99.978,0.814,Tonight Tonight,Hot Chelle Rae,2011,68,https://open.spotify.com/track/2i0AUcEnsDm3dsqLrFWUCq,https://i.scdn.co/image/ab67616d00001e023b97f1c9a0273bfbdc6bd791,pop,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,4.0
0.676,0.695,0,1,0.0,90.268,0.144,Lighters,"Bad Meets Evil, Bruno Mars",2011,66,https://open.spotify.com/track/5zpDHEU12zATwLGvozxPw2,https://i.scdn.co/image/ab67616d00001e0259a1132f3cab22f80b2d2777,pop,spotify:track:5zpDHEU12zATwLGvozxPw2,0.0
0.664,0.872,3,1,0.0,129.873,0.555,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",2011,62,https://open.spotify.com/track/63rbP24OzfaQCJjsHWZXnY,https://i.scdn.co/image/ab67616d00001e02a197a2ef3ad6704d1f44aa4e,pop,spotify:track:63rbP24OzfaQCJjsHWZXnY,3.0
0.644,0.661,11,1,5.14e-06,154.001,0.272,How To Love,Lil Wayne,2011,5,https://open.spotify.com/track/4aX4Oycsk1fhHIee1zqsDe,https://i.scdn.co/image/ab67616d00001e02a1edbe4e3f3e3fe296816af4,pop,spotify:track:4aX4Oycsk1fhHIee1zqsDe,11.0
